料理の種類,料理名,金額[円],エネルギー[キロカロリー],たんぱく質[グラム],脂質[グラム],炭水化物[グラム],食塩相当量[グラム],野菜量[グラム],材料1＿材料名,材料1＿重量[グラム],材料2＿材料名,材料2＿重量[グラム],材料3＿材料名,材料3＿重量[グラム],材料4＿材料名,材料4＿重量[グラム],材料5＿材料名,材料5＿重量[グラム],材料6＿材料名,材料6＿重量[グラム],材料7＿材料名,材料7＿重量[グラム],材料8＿材料名,材料8＿重量[グラム],材料9＿材料名,材料9＿重量[グラム],材料10＿材料名,材料10＿重量[グラム],材料11＿材料名,材料11＿重量[グラム],材料12＿材料名,材料12＿重量[グラム],材料13＿材料名,材料13＿重量[グラム],材料14＿材料名,材料14＿重量[グラム],材料15＿材料名,材料15＿重量[グラム],材料16＿材料名,材料16＿重量[グラム],材料17＿材料名,材料17＿重量[グラム],材料18＿材料名,材料18＿重量[グラム],材料19＿材料名,材料19＿重量[グラム],材料20＿材料名,材料20＿重量[グラム]
ごはん,ごはん（中茶碗1杯）,32,252,3.8,0.5,55.7,0,0,めし・精白米（水稲）,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ごはん,麦ごはん,100,248,4.3,0.7,54,0,0,米・精白米（水稲）,60,大麦・押麦,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ごはん,きのこたっぷり混ぜご飯,125,307,6.6,2.4,61.4,1,23,米・精白米（水稲）,70,えのきたけ＿生,7,しめじ・ぶなしめじ＿生,7,まいたけ＿生,7,油揚げ,5,かつお・昆布だし,90,こいくちしょうゆ,6,みりん風調味料,9,清酒・上撰,7.5,糸みつば・葉＿生,2,,,,,,,,,,,,,,,,,,,,
ごはん,五目炊き込みご飯,170,311,11.4,2.7,57.9,1.1,35,米・精白米（水稲）,66,油揚げ,5,にんじん・根、皮つき＿生,7,板こんにゃく（精粉こんにゃく）,15,ごぼう・根＿生,20,生しいたけ＿生,5,若鶏・むね、皮なし＿生,25,こいくちしょうゆ,3,みりん風調味料,3,昆布だし,50,食塩,0.5,清酒・上撰,1.2,さやいんげん・若ざや＿生,3,,,,,,,,,,,,,,
ごはん,赤飯,100,289,6.1,1.1,63.8,0.5,0,赤飯（もち米製品）,150,ごま＿いり,1,食塩,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ごはん,いなり寿司,110,311,7.4,8.3,48.8,2.1,0,めし・精白米（水稲）,105,清酒・上撰,3.75,穀物酢,13,車糖・上白糖,4.5,食塩,1.5,油揚げ,22.5,かつお・昆布だし,20,車糖・上白糖,3.7,こいくちしょうゆ,4.2,ごま＿いり,1,,,,,,,,,,,,,,,,,,,,
ごはん,巻き寿司,210,402,10.2,4.3,78.2,2.4,73.4,めし・精白米（水稲）,170,清酒・上撰,3.75,穀物酢,13,車糖・上白糖,4.5,食塩,1.5,乾ししいたけ＿乾,2,車糖・上白糖,1.5,みりん風調味料,3,こいくちしょうゆ,3,鶏卵・全卵＿生,25,車糖・上白糖,1.5,食塩,0.2,調合油,1,きゅうり＿生,60,まだら・でんぶ,3,あまのり・焼きのり,2,,,,,,,,
ごはん,ちらし寿司,290,457,13.7,4.7,86.3,3.2,42,めし・精白米（水稲）,200,穀物酢,20,車糖・上白糖,4.5,食塩,2,にんじん・根、皮つき＿生,15,食塩,0.2,車糖・上白糖,1,昆布だし,10,乾ししいたけ＿乾,2,かんぴょう＿乾,2,こいくちしょうゆ,3,車糖・上白糖,1.5,鶏卵・全卵＿生,28,食塩,0.2,調合油,1,くるまえび・養殖＿生,20,食塩,0.2,さやいんげん・若ざや＿生,5,,,,
ごはん,親子丼,250,665,28.5,8.9,110.7,2.1,65,めし・精白米（水稲）,260,若鶏・もも、皮なし＿生,75,清酒・上撰,3.75,たまねぎ・りん茎＿生,60,かつおだし,25,こいくちしょうゆ,12,みりん風調味料,9,車糖・上白糖,2.25,鶏卵・全卵＿生,50,切りみつば・葉＿生,5,,,,,,,,,,,,,,,,,,,,
ごはん,カツ丼,150,868,30.5,31.1,107.3,2.8,20,めし・精白米（水稲）,260,豚・ロース・脂身つき＿生,80,食塩,1,薄力粉・1等,4,鶏卵・全卵＿生,4,パン粉＿乾燥,4,調合油,9,たまねぎ・りん茎＿生,20,こいくちしょうゆ,10,みりん・本みりん,5,鶏卵・全卵＿生,50,,,,,,,,,,,,,,,,,,
